CRF++: Yet Another CRF Tool Kit
Copyright (C) 2005-2008 Taku Kudo, All rights reserved.

reading training data: 100.. 200.. 300.. 400.. 500.. 600.. 700.. 800.. 900.. 1000.. 1100.. 1200.. 1300.. 1400.. 1500.. 1600.. 
Done!10.40 s

Number of sentences: 1600
Number of features:  2207527
Number of thread(s): 3
Freq:                1
eta:                 0.00010
C:                   1.00000
shrinking size:      20
iter=192 terr=0.01491 serr=0.67812 act=2207527 obj=12018.27188 diff=0.00428
iter=193 terr=0.01464 serr=0.67375 act=2207527 obj=11985.30493 diff=0.00274
iter=194 terr=0.01463 serr=0.66750 act=2207527 obj=11943.51188 diff=0.00349
iter=195 terr=0.01437 serr=0.67312 act=2207527 obj=11928.14994 diff=0.00129
iter=196 terr=0.01439 serr=0.67312 act=2207527 obj=11898.82244 diff=0.00246
iter=197 terr=0.01420 serr=0.67063 act=2207527 obj=11880.50310 diff=0.00154
iter=198 terr=0.01403 serr=0.66812 act=2207527 obj=11855.85950 diff=0.00207
iter=199 terr=0.01407 serr=0.66750 act=2207527 obj=11807.68431 diff=0.00406
iter=200 terr=0.01373 serr=0.66187 act=2207527 obj=11762.70310 diff=0.00381
iter=201 terr=0.01376 serr=0.66063 act=2207527 obj=11736.68937 diff=0.00221
iter=202 terr=0.01354 serr=0.65625 act=2207527 obj=11707.69350 diff=0.00247
iter=203 terr=0.01308 serr=0.64500 act=2207527 obj=11654.67383 diff=0.00453
iter=204 terr=0.01301 serr=0.65125 act=2207527 obj=11616.02999 diff=0.00332
iter=205 terr=0.01297 serr=0.64812 act=2207527 obj=11594.64907 diff=0.00184
iter=206 terr=0.01284 serr=0.64563 act=2207527 obj=11584.55667 diff=0.00087
iter=207 terr=0.01272 serr=0.64375 act=2207527 obj=11566.44383 diff=0.00156
iter=208 terr=0.01281 serr=0.63938 act=2207527 obj=11537.85401 diff=0.00247
iter=209 terr=0.01272 serr=0.63500 act=2207527 obj=11506.37362 diff=0.00273
iter=210 terr=0.01258 serr=0.63875 act=2207527 obj=11481.79077 diff=0.00214
